,Individual,Population,Sex,Age,Nuchal.Crest,L.Mastoid,R.Mastoid,L.Supraorbital.Margin,R.Supraorbital.Margin,Glabella,Mental.Eminence,L.Ventral.Arc,R.Ventral.Arc,L.Subpubic.Concavity,R.Subpubic.Concavity,L.Ischiopubic.Ramus,R.Ischiopubic.Ramus,L.Sciatic.Notch,R.Sciatic.Notch,L.Transverse,L.Texture,L.Micro,L.Macro,L.Apical,R.Transverse,R.Texture,R.Micro,R.Macro,R.Apical,L.Pubic.Symphysis,R.Pubic.Symphysis,,,,,
162,S051V0059,MB11,Male,MA,4,5,3,5,5,5,5,5,5,5,5,4,4,4,4,3,4,3,3,1,4,4,3,2,1,3,3,,,,,
163,S064V0050,MB11,Male,MA,2,2,NA,4,4,4,5,4,4,4,4,5,5,3,3,4,3,3,3,2,4,3,3,2,3,4,4,,,,,
164,S070V0067,MB11,Male,MA,2,4,4,4,4,5,4,5,5,4,4,3,3,4,4,4,4,3,3,3,5,4,3,2,2,4,4,,,,,
165,S100V0159,MB11,Male,MA,5,5,5,NA,2,NA,5,4,3,4,4,5,5,2,2,5,5,3,3,3,6,6,NA,NA,NA,NA,NA,,,,,
166,S155V0196,MB11,Male,MA,5,2,3,4,4,4,4,5,5,3,3,3,3,2,2,5,3,3,3,2,5,4,3,3,3,4,5,,,,,
167,S174V0408,MB11,Male,MA,2,1,1,4,4,3,5,1,NA,1,NA,2,NA,4,2,4,5,3,2,1,4,5,3,2,1,NA,NA,,,,,
168,S216V0233,MB11,Male,MA,5,5,5,2,1,1,4,1,2,1,1,1,1,4,3,5,3,3,2,3,4,3,3,2,3,6,4,,,,,
169,S237V0348,MB11,Male,MA,5,5,5,3,3,2,4,5,5,5,5,5,5,5,5,3,3,3,2,1,4,2,3,2,1,NA,NA,,,,,
170,S253V0466,MB11,Male,MA,5,4,4,2,2,2,1,5,NA,5,NA,5,NA,5,4,NA,NA,NA,NA,NA,5,2,3,2,3,NA,NA,,,,,
171,S285V0452,MB11,Male,MA,4,NA,3,5,5,5,5,3,3,5,5,4,5,5,5,3,4,3,3,2,3,4,3,3,3,4,4,,,,,
172,S289V0477,MB11,Male,MA,NA,3,2,4,4,5,2,4,4,NA,NA,4,4,4,4,5,3,2,3,3,4,4,3,2,1,5,4,,,,,
173,S313V0926,MB11,Male,MA,4,3,2,5,4,5,4,NA,2,NA,2,NA,1,5,5,5,4,3,2,1,5,4,3,2,2,5,5,,,,,
174,S342V0737,MB11,Male,MA,5,5,5,5,5,5,3,NA,NA,NA,NA,NA,NA,5,5,5,5,2,3,1,5,4,3,3,1,NA,NA,,,,,
175,S375V0215,MB11,Male,MA,3,1,2,1,1,1,1,4,4,5,5,5,5,5,5,3,1,3,2,2,4,4,3,2,3,5,6,,,,,
176,S402V0907,MB11,Male,MA,4,2,1,1,1,5,3,4,4,1,1,2,2,5,5,4,4,3,2,2,5,3,3,3,2,4,4,,,,,
177,S473V1003,MB11,Male,MA,5,3,3,2,2,5,4,NA,NA,NA,NA,NA,NA,5,5,3,5,3,2,2,3,5,2,2,2,NA,NA,,,,,
178,S144V0222,MB11,Male,OA,5,4,5,5,5,5,5,NA,5,4,4,3,3,2,3,5,5,3,2,3,5,5,3,2,3,NA,4,,,,,
179,S233V0304,MB11,Male,OA,5,4,4,4,4,5,5,4,4,5,5,5,5,4,4,5,5,3,2,3,5,3,3,2,2,NA,NA,,,,,
180,S239V0369,MB11,Male,OA,NA,2,2,1,1,2,4,NA,5,4,4,5,5,5,5,5,5,4,2,2,4,5,3,2,1,NA,NA,,,,,
181,S242V0338,MB11,Male,OA,4,4,4,4,4,5,4,2,NA,3,NA,5,NA,4,5,5,5,3,3,1,4,3,3,3,1,6,NA,,,,,
182,S297V0498,MB11,Male,OA,4,4,4,5,5,5,4,NA,NA,NA,NA,NA,NA,4,4,4,5,3,3,2,3,5,3,3,2,NA,NA,,,,,
183,S306V0561,MB11,Male,OA,4,4,4,5,5,4,5,4,4,5,5,5,4,5,5,5,5,3,3,3,5,5,3,3,2,NA,NA,,,,,
184,S337V0714,MB11,Male,OA,5,4,5,5,2,4,5,4,4,4,4,5,4,5,5,5,5,3,2,2,5,5,3,3,3,4,6,,,,,
185,S349V0752,MB11,Male,OA,5,5,5,5,4,5,3,4,5,5,NA,5,NA,5,5,5,3,3,3,3,5,4,3,3,3,6,6,,,,,
186,S477V1030,MB11,Male,OA,2,5,5,5,5,5,4,1,1,1,1,1,1,3,4,NA,NA,NA,NA,NA,4,4,3,3,3,6,6,,,,,
